company,category,location,address,industry_group,ev_role
JTEKT North America Corp.,Tier 1,"Pendergrass, Hall County","301 Teco Dr, Pendergrass, GA 30567",Transportation Equipment,General Automotive
Kautex Inc.,Tier 1,"Lavonia, Rabun County","100 Kautex Dr, Lavonia, GA 30553",Transportation Equipment,General Automotive
Grudem,Tier 2/3,"Gainesville, Hall County","1245 Industrial Blvd, Gainesville, GA 30501",Machinery Except Electrical,General Automotive
Flambeau Inc.,Tier 2/3,"Madison, Morgan County","1330 Atlanta Highway, Madison, GA 30650",Fabricated Metal Products,General Automotive
Arising Industries Inc.,Tier 2/3,"Norcross, Gwinnett County","6010 Unity Dr, Norcross, GA 30071",Rubber and Miscellaneous Plastic Products,General Automotive
Dinex Emissions Inc.,Tier 2/3,"Dublin, Johnson County","2020 Waldrep Industrial Blvd., Dublin, GA 31021",Primary Metal Industries,General Automotive
ACM Georgia LLC,Tier 2/3,"Warrenton, Warren County","975 Thomson Hwy, Warrenton, GA 30828",Textile Products,General Automotive
Lark United Manufacturing Inc.,Tier 1,"Dublin, Johnson County","200 Industrial Blvd, Dublin, GA 31021",Transportation Equipment,General Automotive
FOX Factory,Tier 2/3,"Duluth, Gwinnett County","2055 Sugarloaf Circle, Suite 300, Duluth, GA 30097",Fabricated Metal Products,General Automotive
Fouts Brothers Fire Equipment,Tier 1/2,"Milledgeville, Baldwin County","138 Roberson Mill Rd, Milledgeville, GA 31061",Fabricated Metal Products,General Automotive
Ascend Elements,Tier 2/3,"Covington, Henry County","1409 Brampton Ave, Covington, GA 30014",Rubber and Miscellaneous Plastic Products,Materials
Aspen Aerogels,Tier 2/3,"Statesboro, Bulloch County","Statesboro, GA (planned plant—construction canceled)",Rubber and Miscellaneous Plastic Products,Materials
Aurubis,Tier 2/3,"Augusta, Burke County","439 Valencia Way, Augusta, GA 30906",Rubber and Miscellaneous Plastic Products,Materials
Dongwon Autopart Technology Georgia LLC,Tier 2/3,"Hogansville, Meriwether County","475 Meriwether Park Dr, Hogansville, GA 30230",Primary Metal Industries,General Automotive
Beaver Manufacturing Co. Inc.,Tier 2/3,"Mansfield, Newton County","12 Ed Needham Dr, Mansfield, GA 30055",Rubber and Miscellaneous Plastic Products,Materials
AVS,Tier 2/3,"Alpharetta, Forsyth County","6110 McFarland Station Dr, Alpharetta, GA 30004",Rubber and Miscellaneous Plastic Products,General Automotive
Blue Bird Corp.,Tier 2/3,"Fort Valley, Peach County","402 Blue Bird Blvd, Fort Valley, GA 31030",Rubber and Miscellaneous Plastic Products,Materials
Blue Ridge Manufacturing,Tier 2/3,"Blue Ridge, Union County","87 Tom Boyd Rd, Blue Ridge, GA 30513",Rubber and Miscellaneous Plastic Products,Materials
Dorsett Industries Inc.,Tier 2/3,"Dalton, Whitfield County","1304 May Street, Dalton, GA 30721",Primary Metal Industries,General Automotive
Boogook Industries,Tier 2/3,"Macon, Twiggs County","2600 Weaver Rd Suite 1-11, Macon, GA 31217",Rubber and Miscellaneous Plastic Products,Materials
Down 2 Earth Trailers,Tier 2/3,"Baxley, Appling County","1605 E Parker Street, Baxley, GA 31513",Primary Metal Industries,General Automotive
Bosch (Automotive Division),Tier 2/3,"Toccoa, Franklin County","1241 Meadowbrook Dr, Toccoa, GA 30577",Rubber and Miscellaneous Plastic Products,Materials
Bridgestone Bandag,Tier 2/3,"Griffin, Spalding County","801 Greenbelt Pkwy, Griffin, GA 30223",Rubber and Miscellaneous Plastic Products,Materials
Lund International Inc.,Tier 1,"Madison, Morgan County","189 Excalibur Dr, Madison, GA 30650",Transportation Equipment,General Automotive
Club Car LLC,Tier 2/3,"Evans, Columbia County","4125 Washington Rd, Evans, GA 30809",Rubber and Miscellaneous Plastic Products,Materials
Constellium Automotive USA,Tier 2/3,"Cartersville, Bartow County","1 Constellium Way, Cartersville, GA 30120",Rubber and Miscellaneous Plastic Products,Materials
Mack Trucks,Tier 1,"Dublin, Lowndes County","1525 Madison Hwy, Dublin, GA 31021",Transportation Equipment,General Automotive
Mando America Corp.,Tier 1,"Hogansville, Meriwether County","100 Mando Dr, Hogansville, GA 30230",Transportation Equipment,General Automotive
Big Tex Trailer Manufacturing Inc.,Tier 2/3,"Loganville, Gwinnett County","3850 Harrison Rd, Loganville, GA 30052",Rubber and Miscellaneous Plastic Products,General Automotive
DAEHAN Solution Georgia LLC,Tier 2/3,"Covington, Henry County","123 Industrial Blvd, Covington, GA 30014",Rubber and Miscellaneous Plastic Products,Materials
Daesol Ausys,Tier 2/3,"Smyrna, Cobb County","2100 Lake Park Dr SE, Smyrna, GA 30080",Rubber and Miscellaneous Plastic Products,Materials
Bonnell Aluminum,Tier 2/3,"Newnan, Coweta County","37 LaGrange St, Newnan, GA 30263",Rubber and Miscellaneous Plastic Products,General Automotive
Bosal Industries Georgia,Tier 2/3,"Lavonia, Franklin County","1 Bosal Way, Lavonia, GA 30553",Rubber and Miscellaneous Plastic Products,General Automotive
DAS Corp.,Tier 2/3,"Metter, Emanuel County","730 Fortner Rd, Metter, GA 30439",Rubber and Miscellaneous Plastic Products,Materials
Duckyang,Tier 2/3,"Braselton, Hall County","984 Broadway Avenue, Braselton, GA 30517",Primary Metal Industries,General Automotive
Eaton Corp.,Tier 2/3,"Athens, Clarke County","695 Indian Hills Road, Athens, GA 30601",Primary Metal Industries,General Automotive
MAT Heavy Duty,Tier 1,"Suwanee, Gwinnett County","555 Satellite Blvd NW, Suwanee, GA 30024",Transportation Equipment,General Automotive
