timestamp	elapsed_process	active_file	active_lines	total_lines	error_rows	gpu	ollama_model
2026-05-20 20:02:43	02:26	qwen2.5_7b__rag_only.jsonl	24	24	0	7985/ 0/ 75	qwen2.5:7b
2026-05-20 20:03:43	03:27	qwen2.5_7b__rag_only.jsonl	36	36	0	7987/ 100/ 80	qwen2.5:7b
2026-05-20 20:04:43	04:27	qwen2.5_7b__rag_only.jsonl	48	48	0	7987/ 100/ 79	qwen2.5:7b
2026-05-20 20:05:43	05:27	qwen2.5_7b__hybrid_rag.jsonl	10	60	0	7987/ 91/ 83	qwen2.5:7b
2026-05-20 20:06:43	06:27	qwen2.5_7b__hybrid_rag.jsonl	25	75	0	7987/ 75/ 81	qwen2.5:7b
2026-05-20 20:07:43	07:27	qwen2.5_7b__hybrid_rag.jsonl	39	89	0	7987/ 100/ 82	qwen2.5:7b
2026-05-20 20:08:44	08:27	qwen2.5_7b__pretrained_only.jsonl	6	106	0	7987/ 83/ 82	qwen2.5:7b
2026-05-20 20:09:44	09:27	qwen2.5_7b__pretrained_only.jsonl	38	138	0	7987/ 84/ 82	qwen2.5:7b
2026-05-20 20:10:44	10:27	qwen2.5_7b__direct_kb.jsonl	3	153	0	7987/ 89/ 82	qwen2.5:7b
2026-05-20 20:11:44	11:27	qwen2.5_7b__direct_kb.jsonl	19	169	0	7987/ 88/ 82	qwen2.5:7b
2026-05-20 20:12:44	12:27	qwen2.5_7b__direct_kb.jsonl	20	170	0	7987/ 91/ 83	qwen2.5:7b
2026-05-20 20:13:44	13:28	qwen2.5_7b__direct_kb.jsonl	22	172	0	7987/ 89/ 83	qwen2.5:7b
2026-05-20 20:14:44	14:28	qwen2.5_7b__direct_kb.jsonl	28	178	0	7987/ 91/ 83	qwen2.5:7b
2026-05-20 20:15:44	15:28	qwen2.5_7b__direct_kb.jsonl	48	198	0	7987/ 88/ 81	qwen2.5:7b
2026-05-20 20:16:44	16:28	qwen2.5_7b__direct_kb.jsonl	48	198	0	7987/ 91/ 83	qwen2.5:7b
2026-05-20 20:17:45	17:28	llama3.1_8b__rag_only.jsonl	5	205	0	17064/ 100/ 83	llama3.1:8b
2026-05-20 20:18:45	18:28	llama3.1_8b__rag_only.jsonl	15	215	0	17066/ 100/ 83	llama3.1:8b
2026-05-20 20:19:45	19:28	llama3.1_8b__rag_only.jsonl	24	224	0	17066/ 84/ 83	llama3.1:8b
2026-05-20 20:20:45	20:29	llama3.1_8b__rag_only.jsonl	36	236	0	17066/ 100/ 83	llama3.1:8b
2026-05-20 20:21:45	21:29	llama3.1_8b__hybrid_rag.jsonl	0	250	0	17066/ 88/ 83	llama3.1:8b
2026-05-20 20:22:45	22:29	llama3.1_8b__hybrid_rag.jsonl	8	258	0	10409/ 89/ 80	llama3.1:8b
2026-05-20 20:23:46	23:29	llama3.1_8b__hybrid_rag.jsonl	22	272	0	10409/ 100/ 83	llama3.1:8b
